time,flex0,flex1,flex2,flex3,flex4,gyro
0.031,100,100,100,100,100,-0.01
0.068,100,100,100,100,100,-0.01
0.108,100,100,100,100,100,-0.01
0.148,100,100,100,100,100,-0.01
0.188,100,100,100,100,100,-0.01
0.227,100,100,100,100,100,-0.01
0.268,100,100,100,100,100,-0.01
0.318,100,100,100,100,100,-0.01
0.362,100,100,100,100,100,-0.01
0.401,100,100,100,100,100,-0.01
0.441,100,100,100,100,100,-0.01
0.481,100,100,100,100,100,-0.01
0.52,100,100,100,100,100,-0.01
0.56,100,100,100,100,100,-0.01
0.6,100,100,100,100,100,-0.01
0.64,100,100,100,100,100,-0.01
0.751,100,100,100,100,100,-0.01
0.791,100,100,100,100,100,-0.01
0.832,100,100,100,100,100,-0.01
0.872,100,100,100,100,100,-0.01
0.911,100,100,100,100,100,-0.01
0.952,100,100,100,100,100,-0.01
1.004,100,100,100,100,100,-0.01
1.036,100,100,100,100,100,-0.01
1.074,100,100,100,100,100,-0.01
1.114,100,100,100,100,100,-0.01
1.156,100,100,100,100,100,-0.01
1.207,100,100,100,100,100,-0.01
1.24,100,100,100,100,100,-0.01
1.299,100,100,100,100,100,-0.01
1.339,100,100,100,100,100,-0.01
1.419,100,100,100,100,100,-0.01
1.46,100,100,100,100,100,-0.01
1.506,100,100,100,100,100,-0.01
1.54,100,100,100,100,100,-0.01
1.589,100,100,100,100,100,-0.01
1.656,100,100,100,100,100,-0.01
1.697,100,100,100,100,100,-0.01
1.737,100,100,100,100,100,-0.01
1.791,100,100,100,100,100,-0.01
1.822,100,100,100,100,100,-0.01
1.859,100,100,100,100,100,-0.01
1.896,100,100,100,100,100,-0.01
1.937,100,100,100,100,100,-0.01
2.034,100,100,100,100,100,-0.01
2.074,100,100,100,100,100,-0.01
2.116,100,100,100,100,100,-0.01
2.156,100,100,100,100,100,-0.01
2.196,100,100,100,100,100,-0.01
2.236,100,100,100,100,100,-0.01
2.291,100,100,100,100,100,-0.01
2.332,100,100,100,100,100,-0.01
2.368,100,100,100,100,100,-0.01
2.408,100,100,100,100,100,-0.01
2.464,100,100,100,100,100,-0.01
2.504,100,100,100,100,100,-0.01
2.551,100,100,100,100,100,-0.01
2.583,100,100,100,100,100,-0.01
2.624,100,100,100,100,100,-0.01
2.691,100,100,100,100,100,-0.01
2.73,100,100,100,100,100,-0.01
2.771,100,100,100,100,100,-0.01
2.81,100,100,100,100,100,-0.01
2.851,100,100,100,100,100,-0.01
2.89,100,100,100,100,100,-0.01
