time,flex0,flex1,flex2,flex3,flex4,gyro
5.34,16.00,17.00,18.00,19.00,15.00,-63.00
5.388,17.00,18.00,19.00,20.00,16.00,-61.20
5.423,17.00,18.00,19.00,20.00,16.00,-61.20
5.464,18.00,19.00,20.00,21.00,17.00,-59.40
5.51,18.00,19.00,20.00,21.00,17.00,-59.40
5.546,19.00,20.00,21.00,22.00,18.00,-57.60
5.585,19.00,20.00,21.00,22.00,18.00,-57.60
5.631,19.00,20.00,21.00,22.00,18.00,-57.60
5.67,20.00,21.00,22.00,23.00,19.00,-55.80
5.704,20.00,21.00,22.00,23.00,19.00,-55.80
5.75,21.00,22.00,23.00,24.00,20.00,-54.00
5.786,21.00,22.00,23.00,24.00,20.00,-54.00
5.825,22.00,23.00,24.00,25.00,21.00,-52.20
5.861,22.00,23.00,24.00,25.00,21.00,-52.20
5.907,22.00,23.00,24.00,25.00,21.00,-52.20
5.943,23.00,24.00,25.00,26.00,22.00,-50.40
5.988,23.00,24.00,25.00,26.00,22.00,-50.40
6.027,24.00,25.00,26.00,27.00,23.00,-48.60
6.078,24.00,25.00,26.00,27.00,23.00,-48.60
6.102,25.00,26.00,27.00,28.00,24.00,-46.80
6.148,25.00,26.00,27.00,28.00,24.00,-46.80
6.183,25.00,26.00,27.00,28.00,24.00,-46.80
6.23,26.00,27.00,28.00,29.00,25.00,-45.00
6.266,26.00,27.00,28.00,29.00,25.00,-45.00
6.303,27.00,28.00,29.00,30.00,26.00,-43.20
6.35,27.00,28.00,29.00,30.00,26.00,-43.20
6.388,28.00,29.00,30.00,31.00,27.00,-41.40
6.423,28.00,29.00,30.00,31.00,27.00,-41.40
6.473,28.00,29.00,30.00,31.00,27.00,-41.40
6.506,29.00,30.00,31.00,32.00,28.00,-39.60
6.547,29.00,30.00,31.00,32.00,28.00,-39.60
6.59,30.00,31.00,32.00,33.00,29.00,-37.80
6.626,30.00,31.00,32.00,33.00,29.00,-37.80
6.663,31.00,32.00,33.00,34.00,30.00,-36.00
6.709,31.00,32.00,33.00,34.00,30.00,-36.00
6.747,32.00,33.00,34.00,35.00,31.00,-34.20
6.783,32.00,33.00,34.00,35.00,31.00,-34.20
6.829,32.00,33.00,34.00,35.00,31.00,-34.20
6.867,33.00,34.00,35.00,36.00,32.00,-32.40
6.903,33.00,34.00,35.00,36.00,32.00,-32.40
6.949,34.00,35.00,36.00,37.00,33.00,-30.60
6.988,34.00,35.00,36.00,37.00,33.00,-30.60
7.023,35.00,36.00,37.00,38.00,34.00,-28.80
7.069,35.00,36.00,37.00,38.00,34.00,-28.80
7.107,36.00,37.00,38.00,39.00,35.00,-27.00
7.143,36.00,37.00,38.00,39.00,35.00,-27.00
7.189,36.00,37.00,38.00,39.00,35.00,-27.00
7.226,37.00,38.00,39.00,40.00,36.00,-25.20
7.267,37.00,38.00,39.00,40.00,36.00,-25.20
7.31,38.00,39.00,40.00,41.00,37.00,-23.40
7.342,38.00,39.00,40.00,41.00,37.00,-23.40
7.382,39.00,40.00,41.00,42.00,38.00,-21.60
7.42,39.00,40.00,41.00,42.00,38.00,-21.60
7.463,39.00,40.00,41.00,42.00,38.00,-21.60
7.506,40.00,41.00,42.00,43.00,39.00,-19.80
7.546,40.00,41.00,42.00,43.00,39.00,-19.80
7.587,41.00,42.00,43.00,44.00,40.00,-18.00
7.624,41.00,42.00,43.00,44.00,40.00,-18.00
7.67,42.00,43.00,44.00,45.00,41.00,-16.20
7.708,42.00,43.00,44.00,45.00,41.00,-16.20
7.743,43.00,44.00,45.00,46.00,42.00,-14.40
7.79,43.00,44.00,45.00,46.00,42.00,-14.40
7.827,43.00,44.00,45.00,46.00,42.00,-14.40
7.863,44.00,45.00,46.00,47.00,43.00,-12.60
7.91,44.00,45.00,46.00,47.00,43.00,-12.60
7.946,45.00,46.00,47.00,48.00,44.00,-10.80
7.984,45.00,46.00,47.00,48.00,44.00,-10.80
8.028,46.00,47.00,48.00,49.00,45.00,-9.00
8.068,46.00,47.00,48.00,49.00,45.00,-9.00
8.105,46.00,47.00,48.00,49.00,45.00,-9.00
8.149,47.00,48.00,49.00,50.00,46.00,-7.20
8.186,47.00,48.00,49.00,50.00,46.00,-7.20
8.224,48.00,49.00,50.00,51.00,47.00,-5.40
8.268,48.00,49.00,50.00,51.00,47.00,-5.40
8.299,49.00,50.00,51.00,52.00,48.00,-3.60
8.342,49.00,50.00,51.00,52.00,48.00,-3.60
8.39,49.00,50.00,51.00,52.00,48.00,-3.60
